Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218803310 - Nonzeville	258800234	SI des eaux de la région de Nonzeville	SIVU	0	0	1948-03-24	1948-03-24	POPUL		3	447	1	CBUDG	0	0	0		0		M.	Denis	BERNARD	Mairie			88600 Nonzeville	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801660 - Évaux-et-Ménil	258800259	SIRP	SIVU	0	0	1978-09-05	1978-09-05	POPUL		3	594	1	CBUDG	0	0	0		0		Mme	Danielle	IZZILLO	Mairie			88450 Evaux-et-Ménil	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801801 - Frain	258800309	SI des eaux de Bel Air	SIVU	0	0	1978-08-18	1978-08-18	POPUL		4	362	1	CBUDG	0	0	0		0		M.	Jean-Paul	CHANAUX	Mairie			88320 Gignéville	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218805307 - Xertigny	258800333	SI du secteur scolaire de Xertigny	SIVU	0	0	1978-10-19	1978-10-19	POPUL		6	8975	1	CFISC	0	0	0		0		M.	André	LAPOIRIE	Mairie			88220 Xertigny	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218804680 - Le Thillot	258800341	Syndicat d'Epuration Intercommunal de la Haute Vallée de la Moselle	SIVU	0	0	1976-06-29	1976-06-29	POPUL		5	8793	1	CBUDG	0	0	0	 	0	 	M.	Michel	MOUROT	Mairie			88560 Saint-Maurice-sur-Moselle	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218804490 - Savigny	258800366	SIVS Terre de Légendes	SIVU	0	0	1974-12-20	1974-12-20	MEMNB		12	1509	2	CBUDG	0	0	0	 	0	 	M.	Jean	VAUBOURG	Ecole Terre de Légendes	Route de Gircourt		88130 SAVIGNY	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218801819 - Fraize	258800416	SI scolaire du secteur de Fraize	SIVU	0	0	1973-01-19	1973-01-19	POPUL		5	10247	3	CBUDG	0	0	0		0		M.	Michel	TISSERAND	Mairie			88230 Fraize	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218800795 - Bulgnéville	258800424	SI des eaux de Bulgnéville et de la vallée du Vair	SIVU	0	0	1963-09-19	1963-09-19	POPUL		13	3826	1	CBUDG	0	0	0		0		M.	Jean-Bernard	MANGIN	Mairie			88140 Bulgnévill8	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218803047 - Mirecourt	258800515	SI d'eau potable de la région mirecurtienne	SIVU	0	0	1977-11-23	1977-11-23	POPUL		20	9257	1	CBUDG	0	0	0		0		M.	jean-luc	COUSOT		10 Rue Charles Derise		88500 Mirecourt	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218802080 - Godoncourt	258800564	SI d'adduction d'eau de la région de Godoncourt	SIVU	0	0	1968-05-07	1968-05-07	POPUL		3	268	1	CBUDG	0	0	0		0		M.	Christophe	BERTRAND	Mairie			88410 GODONCOURT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218803807 - Rehaupal	258800572	SI des eaux de Blanchefontaine	SIVU	0	0	1976-08-19	1976-08-19	POPUL		2	418	1	CBUDG	0	0	0		0		M.	Olivier	SCHNUR	Mairie			88640 Rehaupal	    	    						 	    	    	
